timestamp,speed_kmh,rpm,gear,throttle_position,engine_temp,oil_temp,oil_pressure,fuel_level,battery_voltage,latitude,longitude,driving_mode
2025-12-30T08:15:34.884710+00:00,0.0,787,0,0.0,24.4,23.5,1.97,85.0,14.2,48.8342,9.1519,parked
2025-12-30T08:15:36.224358+00:00,0.0,794,0,0.0,28.5,27.1,2.02,85.0,14.2,48.8342,9.1519,parked
2025-12-30T08:15:37.851753+00:00,10.0,2360,1,83.6,33.8,31.8,2.59,85.0,14.2,48.834225,9.151899,city
2025-12-30T08:15:39.482730+00:00,20.0,800,2,69.6,37.0,35.0,2.1,85.0,14.2,48.834275,9.151899,city
2025-12-30T08:15:41.080833+00:00,30.0,2001,2,55.6,41.4,38.7,2.4,85.0,14.2,48.83435,9.151901,city
2025-12-30T08:15:42.677460+00:00,38.3,3033,2,41.6,46.4,43.0,2.75,85.0,14.2,48.834446,9.151901,city
2025-12-30T08:15:44.261048+00:00,38.3,3099,2,19.5,50.6,47.2,2.85,85.0,14.2,48.834542,9.151907,city
2025-12-30T08:15:45.845090+00:00,38.3,3072,2,14.0,54.7,50.9,2.8,85.0,14.2,48.834637,9.15191,city
2025-12-30T08:15:47.466334+00:00,38.3,2938,2,18.3,58.1,54.2,2.87,85.0,14.2,48.834733,9.151915,city
2025-12-30T08:15:49.124533+00:00,38.3,3045,2,14.6,61.1,57.6,2.82,85.0,14.2,48.834829,9.151922,city
2025-12-30T08:15:50.774587+00:00,30.7,2025,2,0.0,63.5,59.9,2.49,85.0,14.2,48.834906,9.151925,city
2025-12-30T08:15:52.429659+00:00,30.7,2158,2,17.7,65.7,62.5,2.56,85.0,14.2,48.834982,9.151928,city
2025-12-30T08:15:54.033816+00:00,30.7,2198,2,10.0,68.1,64.8,2.47,85.0,14.2,48.835059,9.151934,city
2025-12-30T08:15:55.637820+00:00,30.7,2076,2,16.4,69.9,66.9,2.51,85.0,14.2,48.835136,9.151942,city
2025-12-30T08:15:57.250623+00:00,30.7,2093,2,15.7,71.9,68.9,2.54,85.0,14.2,48.835212,9.151952,city
2025-12-30T08:15:58.828392+00:00,30.7,2053,2,17.7,73.7,70.7,2.42,85.0,14.2,48.835288,9.151965,city
2025-12-30T08:16:00.451163+00:00,30.7,2094,2,19.8,75.1,72.5,2.59,85.0,14.2,48.835365,9.151979,city
2025-12-30T08:16:02.130543+00:00,30.7,2186,2,18.8,76.8,73.9,2.54,85.0,14.2,48.835441,9.151989,city
2025-12-30T08:16:03.781812+00:00,30.7,2118,2,17.7,78.1,75.5,2.43,85.0,14.2,48.835518,9.151996,city
2025-12-30T08:16:05.413606+00:00,30.7,2018,2,13.4,79.3,77.0,2.4,85.0,14.2,48.835594,9.152003,city
2025-12-30T08:16:07.330651+00:00,30.7,2141,2,10.7,80.1,78.3,2.51,85.0,14.2,48.835671,9.152014,city
2025-12-30T08:16:08.956575+00:00,30.7,2157,2,19.7,81.1,79.6,2.61,85.0,14.2,48.835747,9.152027,city
2025-12-30T08:16:10.587343+00:00,30.7,2184,2,15.6,82.1,80.8,2.43,85.0,14.2,48.835823,9.152039,city
2025-12-30T08:16:12.216859+00:00,30.7,2099,2,15.9,83.2,81.8,2.45,85.0,14.2,48.8359,9.15205,city
2025-12-30T08:16:13.915272+00:00,30.7,2140,2,10.1,83.8,83.0,2.44,85.0,14.2,48.835976,9.152063,city
2025-12-30T08:16:15.582080+00:00,30.7,2156,2,15.9,84.4,83.8,2.57,85.0,14.2,48.836052,9.152076,city
2025-12-30T08:16:17.207731+00:00,30.7,2003,2,16.2,84.9,84.6,2.45,85.0,14.2,48.836129,9.152087,city
2025-12-30T08:16:18.775505+00:00,30.7,2059,2,15.1,85.6,85.7,2.46,85.0,14.2,48.836205,9.152101,city
2025-12-30T08:16:20.399726+00:00,30.7,2160,2,15.7,86.1,86.4,2.58,85.0,14.2,48.836282,9.152111,city
2025-12-30T08:16:22.006392+00:00,30.7,2029,2,16.6,86.5,87.0,2.52,85.0,14.2,48.836358,9.152123,city
2025-12-30T08:16:23.611368+00:00,30.7,2071,2,12.6,87.1,87.7,2.57,85.0,14.2,48.836434,9.152134,city
2025-12-30T08:16:25.186013+00:00,30.7,2135,2,14.3,87.3,88.2,2.45,85.0,14.2,48.836511,9.152141,city
2025-12-30T08:16:26.802928+00:00,30.7,2061,2,16.9,88.0,88.7,2.49,85.0,14.2,48.836588,9.152151,city
2025-12-30T08:16:28.402061+00:00,30.7,2132,2,19.7,88.1,89.2,2.58,85.0,14.2,48.836664,9.152161,city
2025-12-30T08:16:30.001016+00:00,30.7,2074,2,19.1,88.4,90.0,2.59,85.0,14.2,48.83674,9.152174,city
2025-12-30T08:16:31.612597+00:00,40.7,964,3,56.4,88.7,90.1,2.09,85.0,14.2,48.836841,9.152192,city
